site_id,model_version,horizon_band,comparison,n_used,n_excluded,model_mae,model_rmse,baseline_mae,baseline_rmse,mae_improvement_pct
turbine_1,ml-aa9c264cc36f7a875765c07d,1–24,model,744,0,0.2007579679765566,0.278059994900568,,,
turbine_1,ml-aa9c264cc36f7a875765c07d,1–24,constant_median,744,0,0.2007579679765566,0.278059994900568,0.27237231182795696,0.347686462054618,26.292813454781456
turbine_1,ml-aa9c264cc36f7a875765c07d,1–24,wind_table,744,0,0.2007579679765566,0.278059994900568,0.22024865591397852,0.3057583831133433,8.849401535069667
turbine_1,ml-aa9c264cc36f7a875765c07d,25–48,model,720,0,0.23086813645920562,0.31929443014217235,,,
turbine_1,ml-aa9c264cc36f7a875765c07d,25–48,constant_median,720,0,0.23086813645920562,0.31929443014217235,0.27117824074074076,0.3465605194952816,14.864800424778002
turbine_1,ml-aa9c264cc36f7a875765c07d,25–48,wind_table,720,0,0.23086813645920562,0.31929443014217235,0.2590520833333333,0.3578569278714851,10.879644939146155
turbine_2,ml-db801e79d7cf6c0bb34e9600,1–24,model,744,0,0.20603403227930253,0.28575772336994637,,,
turbine_2,ml-db801e79d7cf6c0bb34e9600,1–24,constant_median,744,0,0.20603403227930253,0.28575772336994637,0.26978494623655913,0.350811101467419,23.630271016440272
turbine_2,ml-db801e79d7cf6c0bb34e9600,1–24,wind_table,744,0,0.20603403227930253,0.28575772336994637,0.22651321684587813,0.314970661941412,9.04105502175171
turbine_2,ml-db801e79d7cf6c0bb34e9600,25–48,model,720,0,0.23562703163686874,0.32640973598280626,,,
turbine_2,ml-db801e79d7cf6c0bb34e9600,25–48,constant_median,720,0,0.23562703163686874,0.32640973598280626,0.2686689814814815,0.34977091819653816,12.298386535883091
turbine_2,ml-db801e79d7cf6c0bb34e9600,25–48,wind_table,720,0,0.23562703163686874,0.32640973598280626,0.26583912037037033,0.3675239465302202,11.364801648233614
